name,artists,genres,release_year,duration,popularity,Danceability,Energy,Key,Liveness,Valence,Tempo,Time Signature
Bad Moon Rising,Creedence Clearwater Revival,"classic rock,country rock,rock,southern rock,swamp rock",1969-08-03,141600,0,0.508,0.774,2.0,0.063,0.942,178.946,4.0
The Reason,Hoobastank,"alternative metal,funk metal,nu metal,pop rock,post-grunge",2003-12-09,232800,85,0.472,0.671,4.0,0.159,0.0681,82.952,4.0
Cocoon,Love Ghost,,2021-06-25,219428,16,0.685,0.541,9.0,0.106,0.297,140.039,4.0
Lean on Me,Club Nouveau,"contemporary r&b,freestyle,funk,new jack swing,quiet storm",1986-01-01,348573,0,0.738,0.67,0.0,0.0989,0.687,177.278,4.0
Pray,MC Hammer,hip hop,1990-02-20,313200,44,0.967,0.631,6.0,0.488,0.898,121.437,4.0
Valentine,5 Seconds of Summer,"boy band,pop",2018-06-15,196628,63,0.746,0.767,1.0,0.0859,0.773,94.007,4.0
Feel Good Inc.,Gorillaz,"alternative hip hop,modern rock,rock",2005-05-23,222640,87,0.818,0.705,6.0,0.613,0.772,138.559,4.0
Paper Romance,Groove Armada,"big beat,electronica,nu skool breaks,trip hop",2010-03-15,379746,0,0.569,0.712,4.0,0.353,0.24,122.991,4.0
Its Only the Beginning,Deborah Conway,"australian alternative rock,australian rock",1991,281640,46,0.562,0.692,4.0,0.276,0.653,137.921,4.0
You're a Friend of Mine,"Clarence Clemons, Jackson Browne","album rock,classic rock,country rock,folk,folk rock,heartland rock,mellow gold,piano rock,singer-songwriter,soft rock",1999-07-11,290160,39,0.593,0.918,11.0,0.194,0.755,92.835,4.0
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding","dance pop,edm,electro house,house,pop,progressive house,uk dance,indietronica,metropopolis,pop,uk pop",2012-10-29,234506,76,0.695,0.869,8.0,0.237,0.58,124.989,4.0
Devil Inside,INXS,"australian rock,dance rock,funk rock,new romantic,new wave,rock",1987-10-19,315480,34,0.586,0.568,0.0,0.0949,0.488,150.68,4.0
Resurrection Shuffle - Remastered,"Ashton\, Gardner & Dyke",classic uk pop,2014-10-31,193760,37,0.601,0.883,0.0,0.0899,0.79,98.663,4.0
Mickey's Monkey - Album Version (Stereo),The Miracles,"classic soul,motown,quiet storm,rhythm and blues,soul",1963-01-01,165760,0,0.697,0.817,10.0,0.323,0.736,95.092,4.0
I'm Gonna Be (500 Miles),The Proclaimers,"celtic rock,scottish rock",2003-09-01,219466,74,0.851,0.551,4.0,0.0827,0.807,131.922,4.0
Hey There Delilah,Plain White T's,"modern rock,neo mellow,neon pop punk,pop punk,pop rock",2005-01-01,232533,82,0.656,0.291,2.0,0.114,0.298,103.971,4.0
Good Morning Starshine,Oliver,"filter house,nu disco",2008-08-04,218466,0,0.648,0.56,3.0,0.357,0.698,126.517,4.0
Come A Little Bit Closer,Jay & The Americans,"bubblegum pop,classic garage rock,doo-wop,merseybeat,rock-and-roll",1964,166666,69,0.636,0.684,3.0,0.534,0.881,132.509,4.0
With A Girl Like You,The Troggs,"british blues,british invasion",1966-07-25,128493,55,0.65,0.68,7.0,0.186,0.604,113.925,4.0
Laughter In The Rain,Neil Sedaka,"adult standards,brill building pop,bubblegum pop,easy listening,rockabilly,soft rock",2007-04-24,170066,68,0.495,0.613,5.0,0.0406,0.924,100.535,4.0
"Love Is All Around - From ""Four Weddings and a Funeral"" Original Motion Picture Soundtrack",Wet Wet Wet,"boy band,new romantic,new wave pop,soft rock,sophisti-pop",2013-11-25,237958,0,0.438,0.673,10.0,0.208,0.596,169.851,4.0
Teenage Dirtbag,Wheatus,,2000-07-25,241666,0,0.624,0.853,4.0,0.17,0.608,94.66,4.0
Unfaithful,Rihanna,"barbadian pop,pop,urban contemporary",2006-04-10,224629,0,0.588,0.391,0.0,0.195,0.349,144.053,4.0
Manhattan,Kings of Leon,"modern rock,rock",2008-09-23,204226,62,0.497,0.802,9.0,0.0775,0.402,112.287,4.0
Elle fuit,Myglö,,2021-07-16,256799,0,0.731,0.48,2.0,0.155,0.494,99.955,4.0
...Ready For It?,Taylor Swift,pop,2017-11-10,208186,0,0.613,0.764,2.0,0.197,0.417,160.015,4.0
Mmm Yeah (feat. Pitbull),"Austin Mahone, Pitbull","pop,post-teen pop,dance pop,miami hip hop,pop",2014-05-27,231624,0,0.712,0.922,6.0,0.268,0.976,125.984,4.0
Price Tag,"Jessie J, B.o.B","dance pop,pop,atl hip hop,dance pop,pop rap,rap,southern hip hop",2011-01-01,223053,79,0.636,0.831,5.0,0.272,0.668,175.015,4.0
Reunited,"Toni Braxton, Babyface","contemporary r&b,dance pop,r&b,urban contemporary,contemporary r&b,r&b,urban contemporary",2014-01-01,197560,41,0.641,0.609,5.0,0.0523,0.358,80.02,4.0
Feel the Love (feat. John Newman),"Rudimental, John Newman","pop dance,uk dance,uk funky,dance pop",2013-04-26,245186,69,0.389,0.706,1.0,0.686,0.238,179.911,4.0
Walks Like Rihanna,The Wanted,"boy band,dance pop,pop,post-teen pop",2013-01-01,202880,0,0.567,0.815,5.0,0.0825,0.393,126.09,4.0
Welcome To The Jungle,Guns N' Roses,"glam metal,hard rock,rock",1987-07-21,273600,0,0.445,0.955,8.0,0.317,0.336,123.343,4.0
Like A G6,"Far East Movement, The Cataracs, DEV","asian american hip hop,dance pop,pop rap",2010-01-01,216893,77,0.435,0.837,3.0,0.117,0.778,124.913,4.0
Lose Control,"MEDUZA, Becky Hill, Goodboys","edm,pop dance,pop house,uk dance,pop dance,pop house,uk dance,uk pop,pop dance,uk dance",2019-10-11,168387,80,0.598,0.526,10.0,0.14,0.529,123.935,4.0
Keep Your Hands Off My Girl,Good Charlotte,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",2010-11-12,203946,40,0.598,0.951,1.0,0.586,0.638,137.917,4.0
Rumour Has It,Adele,"british soul,pop,pop soul,uk pop",2011-01-19,221426,0,0.618,0.753,7.0,0.0905,0.557,120.041,4.0
Bonkers,"Dizzee Rascal, Armand Van Helden","grime,instrumental grime,big beat,deep house,disco house,house,speed garage,uk dance,vocal house",2013-01-01,177520,51,0.623,0.95,11.0,0.295,0.709,126.113,4.0
California Blue,Roy Orbison,"adult standards,classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter",1989,235906,57,0.651,0.596,2.0,0.376,0.695,105.679,4.0
Africa,TOTO,"album rock,classic rock,hard rock,mellow gold,rock,soft rock,yacht rock",1982-04-08,295893,88,0.671,0.373,9.0,0.0481,0.732,92.718,4.0
Hella Good,No Doubt,"dance pop,dance rock,permanent wave,pop rock,rock",2001-12-11,242586,0,0.776,0.671,8.0,0.0824,0.824,115.138,4.0
You're The Best Thing,The Style Council,"new romantic,new wave,new wave pop,sophisti-pop",1984-01-01,340626,0,0.604,0.723,1.0,0.102,0.68,83.455,4.0
Yesterday Once More,Dami Im,"australian pop,australian talent show,talent show",2016-04-22,242200,29,0.313,0.413,7.0,0.127,0.264,173.83,4.0
Give A Little Bit,Supertramp,"album rock,art rock,classic rock,glam rock,mellow gold,piano rock,progressive rock,rock,soft rock,symphonic rock",1977-01-01,248173,80,0.531,0.818,2.0,0.263,0.471,90.767,4.0
"Hey, Soul Sister",Train,"dance pop,neo mellow,pop,pop rock",2009,216773,0,0.674,0.89,1.0,0.0819,0.737,97.02,4.0
Come Together - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",1969-09-26,259946,81,0.533,0.376,9.0,0.0926,0.187,165.007,4.0
If I Had No Loot,Tony! Toni! Toné!,"contemporary r&b,new jack swing,r&b,urban contemporary",2014-01-01,241067,12,0.689,0.829,11.0,0.568,0.634,106.672,4.0
P.I.M.P.,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",2003-02-06,249480,82,0.712,0.772,10.0,0.0368,0.848,84.722,4.0
In These Arms,Bon Jovi,"glam metal,rock",2010-01-01,319293,0,0.507,0.913,4.0,0.23,0.511,123.305,4.0
I'm Yours,Elvis Presley,"rock-and-roll,rockabilly",1962-06-05,140840,29,0.343,0.19,2.0,0.123,0.262,99.835,3.0
Walk Right Back,The Everly Brothers,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop",1993,139666,17,0.605,0.433,1.0,0.06,0.844,134.726,4.0
You Little Thief,Feargal Sharkey,"new wave pop,solo wave",1985-01-01,304826,44,0.545,0.837,11.0,0.106,0.78,128.357,4.0
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,"album rock,classic canadian rock,classic rock,country rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock",2005-01-01,234053,0,0.467,0.508,11.0,0.132,0.772,118.753,4.0
Walking in Memphis,Marc Cohn,mellow gold,1991-02-08,252613,74,0.567,0.512,0.0,0.296,0.334,130.271,4.0
You All Dat,Baha Men,bahamian pop,2000,208533,32,0.713,0.963,7.0,0.125,0.631,123.82,4.0
Push It,Salt-N-Pepa,"girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop",1986-01-01,272133,0,0.926,0.6,7.0,0.0901,0.97,127.247,4.0
Dinosaur,Kisschasy,"aussie emo,australian alternative rock",2009-01-01,188720,40,0.517,0.441,11.0,0.294,0.349,83.023,4.0
ILYSB,LANY,la pop,2017-06-30,211149,69,0.636,0.623,5.0,0.351,0.389,100.026,4.0
If You Don't Know Me by Now (feat. Teddy Pendergrass),"Harold Melvin & The Blue Notes, Teddy Pendergrass","classic soul,disco,funk,philly soul,quiet storm,soul,southern soul,funk,motown,philly soul,quiet storm,soul,urban contemporary",1995-02-28,205573,0,0.467,0.371,11.0,0.756,0.478,93.681,3.0
There for You,"Martin Garrix, Troye Sivan","dutch edm,edm,pop,pop dance,progressive house,australian pop,pop,viral pop",2017-05-26,221904,71,0.611,0.644,6.0,0.124,0.13,105.969,4.0
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,"golden age hip hop,old school hip hop,philly rap",2003-01-31,226026,23,0.814,0.946,10.0,0.304,0.667,100.035,4.0
Invincible,Kelly Clarkson,"dance pop,pop,talent show",2016-03-04,238360,37,0.477,0.788,10.0,0.194,0.379,138.21,4.0
Lady Rose,Mungo Jerry,"british blues,classic uk pop",1970-01-01,190826,42,0.644,0.613,11.0,0.27,0.919,149.938,4.0
#Beautiful,"Mariah Carey, Miguel","dance pop,pop,urban contemporary,r&b",2014-05-23,199866,47,0.678,0.757,4.0,0.314,0.452,106.924,4.0
Bad Liar,Selena Gomez,"pop,post-teen pop",2017-05-18,214647,0,0.953,0.41,1.0,0.0768,0.718,121.074,4.0
Larger Than Life,Backstreet Boys,"boy band,dance pop,pop",1999-05-18,232826,72,0.661,0.973,0.0,0.617,0.75,108.037,4.0
1901,Phoenix,"alternative dance,indie rock,modern rock,new rave,rock independant francais",2009-05-12,193120,0,0.59,0.836,0.0,0.196,0.693,144.066,4.0
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,"alternative rock,athens indie,permanent wave,rock",1987-09-01,246933,73,0.381,0.894,7.0,0.0251,0.797,205.528,4.0
Your Love Is My Drug,Kesha,"dance pop,pop",2010-01-01,187960,0,0.822,0.604,1.0,0.0954,0.704,120.043,4.0
Mr. Bojangles,Neil Diamond,"adult standards,brill building pop,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock",1969-12-13,293760,45,0.438,0.338,0.0,0.098,0.484,134.478,3.0
Please Don't Go,K.W.S.,,2015-03-13,373600,48,0.725,0.954,8.0,0.132,0.594,120.248,4.0
What's My Age Again?,blink-182,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk",1999-01-01,148573,0,0.403,0.956,6.0,0.0893,0.561,157.706,4.0
Help Yourself,Tom Jones,"adult standards,british invasion",2010-01-01,173106,11,0.62,0.76,4.0,0.674,0.909,90.914,4.0
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,"album rock,glam metal,hard rock,soft rock",1990-04-14,232173,40,0.659,0.626,9.0,0.0968,0.66,97.996,4.0
Unsteady,X Ambassadors,"modern alternative rock,modern rock,stomp pop",2015-06-30,193546,76,0.389,0.665,0.0,0.116,0.199,117.055,4.0
I'm a Believer - 2006 Remaster,The Monkees,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",1967-01-09,167373,79,0.526,0.775,0.0,0.217,0.962,80.106,4.0
Don't Be so Hard on Yourself,Jess Glynne,"pop,uk pop",2015,211460,66,0.571,0.815,6.0,0.163,0.664,120.008,4.0
Can't Fight This Feeling,REO Speedwagon,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock",1984-11-05,294773,76,0.408,0.48,9.0,0.0877,0.19,156.344,4.0
One Last Cry,Brian McKnight,"contemporary r&b,quiet storm,r&b,urban contemporary",1992-06-23,295357,0,0.355,0.126,11.0,0.131,0.102,109.769,4.0
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,canadian pop,1997-10-24,280000,0,0.428,0.276,4.0,0.117,0.0382,99.195,1.0
Love Will Lead You Back,Taylor Dayne,"hi-nrg,new romantic,new wave pop,soft rock,synthpop",1989-10-27,279026,0,0.553,0.339,1.0,0.0872,0.227,146.354,4.0
On The Floor - Radio Edit,"Jennifer Lopez, Pitbull","dance pop,pop,urban contemporary,dance pop,miami hip hop,pop",2011-01-01,230906,0,0.765,0.68,11.0,0.138,0.462,129.998,4.0
Another Day in Paradise - R&B-Version,"Brandy, Ray J","contemporary r&b,dance pop,hip pop,r&b,urban contemporary,pop rap",2002-02-25,271626,50,0.7,0.787,6.0,0.0724,0.556,102.043,4.0
If I Ever Feel Better,Phoenix,"alternative dance,indie rock,modern rock,new rave,rock independant francais",2000-03-06,266600,69,0.755,0.553,6.0,0.0646,0.836,119.7,4.0
Wake Me Up Before You Go-Go,Wham!,"new romantic,new wave,new wave pop,soft rock",1984-10-23,231333,83,0.62,0.573,0.0,0.0607,0.897,81.548,4.0
Dance to the Music,Sly & The Family Stone,"classic soul,funk,funk rock,p funk,psychedelic soul,soul,southern soul",1968-04-27,179426,62,0.703,0.529,7.0,0.911,0.772,128.059,4.0
Love Me Tender,Elvis Presley,"rock-and-roll,rockabilly",2002-09-24,162066,60,0.439,0.0529,9.0,0.106,0.314,109.382,3.0
I Know a Place,Petula Clark,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly",1996-01-01,161640,17,0.492,0.76,4.0,0.196,0.584,137.632,4.0
The Letter,The Box Tops,"bubblegum pop,classic garage rock,folk rock,merseybeat,psychedelic rock,rock-and-roll",1967,112800,73,0.638,0.428,9.0,0.132,0.901,139.434,4.0
Easy Love,Sigala,"dance pop,edm,pop dance,uk dance,uk pop",2018-09-28,229813,70,0.68,0.942,9.0,0.117,0.647,123.976,4.0
From The Music,The Potbelleez,"aussietronica,australian dance,australian house,australian pop",2011-01-01,191546,0,0.549,0.636,7.0,0.312,0.475,127.85,4.0
Pray to God (feat. HAIM),"Calvin Harris, HAIM","dance pop,edm,electro house,house,pop,progressive house,uk dance,indietronica,metropopolis",2014-10-31,232226,67,0.606,0.949,7.0,0.109,0.436,120.031,4.0
Crush,Pendulum,"australian dance,dancefloor dnb,drum and bass",2010-05-21,253706,58,0.418,0.906,2.0,0.164,0.164,173.998,4.0
Do It Again,"Pia Mia, Chris Brown, Tyga","dance pop,pop,post-teen pop,r&b,rap,hip hop,pop rap,rap,trap",2015-05-04,207746,0,0.713,0.552,8.0,0.0879,0.424,95.961,4.0
Better Now,Post Malone,"dfw rap,melodic rap,pop,rap",2018-04-27,231266,85,0.68,0.578,10.0,0.135,0.341,145.038,4.0
Outside,George Michael,new wave pop,1998-11-09,283426,50,0.739,0.849,7.0,0.33,0.918,121.826,4.0
I Never Can Say Goodbye,Gloria Gaynor,"disco,soft rock",2012-03-20,193413,27,0.671,0.703,0.0,0.306,0.963,122.917,4.0
The Lady In Red,Chris de Burgh,"new wave pop,soft rock",2001-01-01,254573,53,0.563,0.44,10.0,0.0395,0.508,76.615,4.0
everything i wanted,Billie Eilish,"art pop,electropop,pop",2019-11-13,245425,87,0.704,0.225,6.0,0.106,0.243,120.006,4.0
"Julie, Do Ya Love Me",Bobby Sherman,bubblegum pop,1970,172837,39,0.425,0.41,9.0,0.3,0.664,82.177,4.0
The Real Thing,Russell Morris,australian rock,1978-01-01,380333,42,0.274,0.618,2.0,0.123,0.557,91.726,4.0
No Secrets,The Angels,australian rock,1980,257946,0,0.478,0.69,7.0,0.127,0.699,142.031,4.0
Beautiful People (feat. Benny Benassi),"Chris Brown, Benny Benassi","r&b,rap,edm,electro house,pop dance",2011-04-04,226773,0,0.417,0.806,5.0,0.0841,0.545,127.887,4.0
"Just Another Dream - Album-Edit / 7"" Mix",Cathy Dennis,"diva house,new wave pop",2000-01-01,235613,33,0.666,0.696,0.0,0.0659,0.844,118.791,4.0
Rag Doll,Frankie Valli & The Four Seasons,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly",1964-07-01,180066,35,0.481,0.477,10.0,0.0761,0.68,122.369,4.0
All For You,Keith Urban,"australian country,australian pop,contemporary country,country,country road",2010-01-01,217942,22,0.544,0.406,8.0,0.0829,0.229,104.774,4.0
Fallin',Alicia Keys,"neo soul,pop,r&b",2001-06-05,210200,78,0.652,0.609,11.0,0.233,0.482,95.986,3.0
Cemetery,Silverchair,"alternative metal,alternative rock,australian alternative rock,australian psych,australian rock,grunge,nu metal,post-grunge",1997,241160,44,0.339,0.562,0.0,0.305,0.0837,109.12,4.0
Sorry,Joel Corry,"dance pop,pop dance,uk dance",2019-07-05,188640,51,0.748,0.792,8.0,0.324,0.869,125.022,4.0
Teenage Dirtbag,Wheatus,,2000-09-29,241840,72,0.617,0.84,4.0,0.179,0.57,94.676,4.0
The Devil Went Down to Georgia,The Charlie Daniels Band,"album rock,classic rock,country,country rock,heartland rock,southern rock",1979,215066,62,0.517,0.535,0.0,0.085,0.933,135.087,4.0
Ring Ring Ring,De La Soul,"east coast hip hop,golden age hip hop,hip hop,jazz rap",1999-07-28,247240,0,0.511,0.787,5.0,0.408,0.654,207.966,4.0
Disappear,INXS,"australian rock,dance rock,funk rock,new romantic,new wave,rock",2011-01-01,248533,0,0.64,0.8,9.0,0.0801,0.869,125.076,4.0
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""","Hugo Montenegro & His Orchestra, Hugo Montenegro","easy listening,man's orchestra,easy listening",1999-08-24,165693,37,0.531,0.648,0.0,0.442,0.589,116.572,4.0
Feel It - Radio Version,"The Tamperer, Maya",italo dance,1998-02-01,178880,46,0.871,0.974,11.0,0.0542,0.653,125.05,4.0
Uncover,Zara Larsson,"pop,scandipop,swedish electropop,swedish pop",2013-01-01,214133,50,0.549,0.456,2.0,0.156,0.312,90.068,4.0
I Wanna Know,Joe,"contemporary r&b,r&b,urban contemporary",2008-10-14,296800,55,0.724,0.485,6.0,0.416,0.581,136.057,4.0
Young Forever,"JAY-Z, Mr Hudson","east coast hip hop,gangster rap,hip hop,pop rap,rap",2009-09-08,253880,41,0.632,0.686,9.0,0.276,0.0847,140.296,4.0
Surrender,The Collective,"australian pop,australian talent show,boy band",2012-12-14,226986,34,0.665,0.776,0.0,0.156,0.81,117.962,4.0
Ayo Technology,"50 Cent, Justin Timberlake, Timbaland","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,dance pop,pop,dance pop,pop,pop rap",2007-01-01,247946,0,0.63,0.782,8.0,0.034,0.418,140.144,4.0
I Wanna Sex You Up,Color Me Badd,"boy band,contemporary r&b,new jack swing",2015-10-30,246360,0,0.535,0.703,2.0,0.0637,0.472,201.856,4.0
Girl On Fire,Alicia Keys,"neo soul,pop,r&b",2012-09-04,224920,1,0.482,0.706,9.0,0.105,0.144,92.494,4.0
Lonely Night (Angel Face),Captain & Tennille,"mellow gold,soft rock,yacht rock",1976-01-01,198200,31,0.593,0.698,0.0,0.0796,0.647,122.139,4.0
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"Jennifer Lopez, Jadakiss, Styles P","dance pop,pop,urban contemporary,battle rap,east coast hip hop,hardcore hip hop,trap,battle rap,dirty south rap,east coast hip hop,hardcore hip hop",2002,187840,75,0.845,0.768,6.0,0.0575,0.96,100.0,4.0
Somebody to Love Me,"Mark Ronson, The Business Intl",pop soul,2010-09-21,297933,49,0.694,0.853,6.0,0.225,0.566,117.896,4.0
Take This Heart,Richard Marx,"new wave pop,soft rock",1997-01-01,250666,34,0.612,0.694,0.0,0.0749,0.551,115.53,4.0
Give Me One Reason,Tracy Chapman,"folk,lilith,singer-songwriter,women's music",1995-10-31,268333,74,0.608,0.419,11.0,0.108,0.602,100.22,4.0
Touch,Little Mix,"girl group,pop,talent show,uk pop",2017-11-24,213306,0,0.607,0.718,4.0,0.403,0.551,101.821,4.0
This Town,Niall Horan,pop,2017-10-20,232852,0,0.678,0.398,6.0,0.117,0.202,111.833,4.0
Suddenly,Angry Anderson,,1986,249093,40,0.45,0.528,5.0,0.0691,0.238,138.863,4.0
Blank Space,Taylor Swift,pop,2014-10-27,231826,0,0.752,0.678,5.0,0.13,0.583,96.009,4.0
Reckless (Don't Be So...) - Remastered,Australian Crawl,australian rock,2014-01-01,321337,0,0.699,0.37,2.0,0.0591,0.222,60.197,4.0
Mascara,Killing Heidi,"australian alternative rock,australian rock",2000,290960,0,0.412,0.893,2.0,0.38,0.645,133.935,4.0
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill, Wyclef Jean, Pras","east coast hip hop,hip hop,neo soul,new jersey rap,alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul,rap kreyol,new jersey rap",2003-03-25,290293,58,0.765,0.437,4.0,0.167,0.498,92.402,4.0
William Tell,Sounds Incorporated,,2012-02-03,124720,12,0.643,0.925,0.0,0.0435,0.56,94.446,4.0
Catch - Radio Edit,Will Sparks,"big room,melbourne bounce,melbourne bounce international",2014-02-14,176240,27,0.532,0.659,1.0,0.307,0.586,127.339,4.0
Safe Inside,James Arthur,"pop,talent show,uk pop",2016-10-28,222173,68,0.317,0.547,8.0,0.121,0.11,117.332,4.0
I Remember You,Skid Row,"album rock,glam metal,hard rock,metal,rock",1998,314026,51,0.474,0.704,0.0,0.194,0.475,88.25,4.0
I Couldn't Live Without Your Love,Petula Clark,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly",1997-01-01,175272,39,0.585,0.6,2.0,0.677,0.376,126.968,4.0
Treat Her Right,Roy Head And The Traits,,2019-08-30,125893,17,0.6,0.622,0.0,0.292,0.961,161.929,4.0
I Only Want To Be With You,Dusty Springfield,"adult standards,british invasion,soul",1964-06-26,158200,65,0.602,0.684,7.0,0.175,0.961,133.0,4.0
Save Tonight,Eagle-Eye Cherry,pop rock,1998-01-01,242733,76,0.547,0.707,0.0,0.285,0.654,119.576,4.0
You should be sad,Halsey,"electropop,etherpop,indie poptimism,pop",2020-01-17,205473,74,0.591,0.585,2.0,0.109,0.324,110.94,4.0
I'll Be There,Gerry & The Pacemakers,"british invasion,merseybeat,rock-and-roll",2004-03-01,191693,35,0.551,0.532,7.0,0.326,0.608,115.71,4.0
The Middle,"Zedd, Maren Morris, Grey","complextro,edm,german techno,pop,pop dance,classic texas country,contemporary country",2018-01-23,184732,0,0.748,0.652,7.0,0.128,0.431,106.914,4.0
Levitating (feat. DaBaby),"Dua Lipa, DaBaby","dance pop,pop,uk pop,hip hop,north carolina hip hop,rap,trap",2020-10-01,203064,77,0.702,0.825,6.0,0.0674,0.915,102.977,4.0
Don't Stand So Close To Me - Remastered 2003,The Police,"album rock,classic rock,permanent wave,rock",1980-10-03,242666,0,0.799,0.506,2.0,0.037,0.518,140.309,4.0
Trust Me,I'm Talking,"australian r&b,australian rock",2018-03-23,231008,0,0.689,0.947,2.0,0.229,0.932,123.628,4.0
Don't Let The Rain Come Down (Crooked Little Man),The Serendipity Singers,american folk revival,2011-08-01,164733,0,0.787,0.426,2.0,0.101,0.67,128.914,4.0
Back in Black,Back In Black,britcore,2012-06-14,231333,38,0.264,0.716,9.0,0.365,0.511,184.1,4.0
Hey Joe,Jimi Hendrix,"acid rock,album rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",1997-09-16,209813,50,0.349,0.757,9.0,0.0332,0.569,166.717,4.0
This Love,The Veronicas,"australian pop,candy pop,dance pop,girl group,post-teen pop",2007-10-30,178800,44,0.636,0.747,8.0,0.256,0.616,155.979,4.0
In The Air Tonight - 2015 Remastered,Phil Collins,"rock drums,soft rock",1981-01-01,336453,80,0.446,0.239,0.0,0.0697,0.298,189.507,4.0
Kill This Love,BLACKPINK,"k-pop,k-pop girl group,pop",2019-04-04,189052,38,0.738,0.861,2.0,0.325,0.58,131.974,4.0
Anything for You,"Gloria Estefan, Miami Sound Machine","new wave pop,new romantic,new wave pop,soft rock,synthpop",1987-06-09,226400,44,0.598,0.402,6.0,0.067,0.27,143.806,4.0
Talk Like That,The Presets,"alternative dance,australian dance,australian indie",2008-01-01,220906,0,0.57,0.941,6.0,0.225,0.854,135.015,4.0
Where Do You Go To (My Lovely),Peter Sarstedt,british folk,2016-05-20,284706,54,0.408,0.436,0.0,0.305,0.474,175.024,3.0
Believer,Guy Sebastian,"australian pop,australian talent show",2020-10-16,225493,52,0.376,0.505,9.0,0.0846,0.299,177.794,3.0
Roots,Imagine Dragons,"modern rock,pop,rock",2015-08-27,174506,67,0.637,0.887,7.0,0.326,0.596,157.759,4.0
Fortunate Son,Creedence Clearwater Revival,"classic rock,country rock,rock,southern rock,swamp rock",1969-11-02,140773,88,0.64,0.663,0.0,0.152,0.663,132.77,4.0
Only When I Sleep,The Corrs,"celtic rock,europop,pop rock",1998-10-17,261413,55,0.495,0.769,9.0,0.284,0.442,145.031,4.0
We Belong Together,Mariah Carey,"dance pop,pop,urban contemporary",2005-01-01,201400,0,0.837,0.462,0.0,0.09,0.762,139.986,4.0
Never Be the Same,Jessica Mauboy,"australian indigenous,australian pop,australian talent show",2013-10-04,232880,52,0.456,0.95,1.0,0.0859,0.361,78.458,4.0
Open Your Mind,U.S.U.R.A.,"bubble trance,eurodance,hardcore techno,hip house,italo dance",1993,316989,0,0.756,0.765,5.0,0.283,0.52,130.842,4.0
Somewhere Only We Know,Keane,"neo mellow,piano rock,pop rock",2004-05-10,237146,89,0.448,0.665,9.0,0.0828,0.304,172.004,4.0
"For All We Know - From ""Lovers And Other Strangers"" Soundtrack",Carpenters,"adult standards,mellow gold,soft rock",1971-01-01,158933,0,0.248,0.245,7.0,0.0869,0.202,134.822,4.0
Tweedle Dee Tweedle Dum,Middle Of The Road,classic uk pop,2002-05-28,191133,21,0.625,0.508,3.0,0.279,0.879,111.786,4.0
Black Betty,Ram Jam,southern rock,1977-06-20,238973,75,0.465,0.907,11.0,0.13,0.681,117.293,4.0
She's The One,Robbie Williams,"dance rock,europop",1998,258026,70,0.243,0.609,10.0,0.221,0.333,166.668,4.0
My Girl Bill,Cash Backman,,2018-04-04,211680,0,0.692,0.445,5.0,0.0582,0.781,120.543,4.0
The Buzz (feat. Mataya & Young Tapz),"Hermitude, Mataya, TAPZ GALLANTINO","australian dance,australian indie,downtempo,escape room,escape room",2016-09-02,221857,0,0.667,0.579,0.0,0.123,0.464,140.88,4.0
Hit Me With Your Best Shot - 1999 Digital Remaster,Pat Benatar,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",1999-09-23,171293,0,0.715,0.702,4.0,0.255,0.954,127.446,4.0
